org;dest;sku;volume
F_0_entrada;F_0_saida;0;20
F_0_entrada;F_0_saida;1;20
F_0_entrada;F_0_saida;2;20
F_0_entrada;F_0_saida;3;20
F_0_entrada;F_0_saida;4;20
F_0_entrada;F_0_saida;5;20
F_0_entrada;F_0_saida;6;20
F_0_entrada;F_0_saida;7;20
F_0_entrada;F_0_saida;8;20
F_0_entrada;F_0_saida;9;20
F_1_entrada;F_1_saida;0;20
F_1_entrada;F_1_saida;1;20
F_1_entrada;F_1_saida;2;20
F_1_entrada;F_1_saida;3;20
F_1_entrada;F_1_saida;4;20
F_1_entrada;F_1_saida;5;20
F_1_entrada;F_1_saida;6;20
F_1_entrada;F_1_saida;7;20
F_1_entrada;F_1_saida;8;20
F_1_entrada;F_1_saida;9;20
F_2_entrada;F_2_saida;0;20
F_2_entrada;F_2_saida;1;20
F_2_entrada;F_2_saida;2;20
F_2_entrada;F_2_saida;3;20
F_2_entrada;F_2_saida;4;20
F_2_entrada;F_2_saida;5;20
F_2_entrada;F_2_saida;6;20
F_2_entrada;F_2_saida;7;20
F_2_entrada;F_2_saida;8;20
F_2_entrada;F_2_saida;9;20
F_3_entrada;F_3_saida;0;20
F_3_entrada;F_3_saida;1;20
F_3_entrada;F_3_saida;2;20
F_3_entrada;F_3_saida;3;20
F_3_entrada;F_3_saida;4;20
F_3_entrada;F_3_saida;5;20
F_3_entrada;F_3_saida;6;20
F_3_entrada;F_3_saida;7;20
F_3_entrada;F_3_saida;8;20
F_3_entrada;F_3_saida;9;20
F_4_entrada;F_4_saida;0;20
F_4_entrada;F_4_saida;1;20
F_4_entrada;F_4_saida;2;20
F_4_entrada;F_4_saida;3;20
F_4_entrada;F_4_saida;4;20
F_4_entrada;F_4_saida;5;20
F_4_entrada;F_4_saida;6;20
F_4_entrada;F_4_saida;7;20
F_4_entrada;F_4_saida;8;20
F_4_entrada;F_4_saida;9;20
CD_0_entrada;CD_0_saida;0;20
CD_0_entrada;CD_0_saida;1;5.40782
CD_0_entrada;CD_0_saida;2;35
CD_0_entrada;CD_0_saida;3;5
CD_0_entrada;CD_0_saida;4;35
CD_0_entrada;CD_0_saida;5;25
CD_0_entrada;CD_0_saida;6;15
CD_0_entrada;CD_0_saida;7;29.25
CD_0_entrada;CD_0_saida;8;5
CD_0_entrada;CD_0_saida;9;28.0929
CD_1_entrada;CD_1_saida;0;20
CD_1_entrada;CD_1_saida;1;14.5922
CD_1_entrada;CD_1_saida;2;35
CD_1_entrada;CD_1_saida;3;35.8049
CD_1_entrada;CD_1_saida;4;35
CD_1_entrada;CD_1_saida;5;25
CD_1_entrada;CD_1_saida;6;20
CD_1_entrada;CD_1_saida;7;10.75
CD_1_entrada;CD_1_saida;8;20
CD_1_entrada;CD_1_saida;9;5
CD_2_entrada;CD_2_saida;0;20
CD_2_entrada;CD_2_saida;1;20
CD_2_entrada;CD_2_saida;2;5
CD_2_entrada;CD_2_saida;3;30
CD_2_entrada;CD_2_saida;4;5
CD_2_entrada;CD_2_saida;5;35
CD_2_entrada;CD_2_saida;6;30
CD_2_entrada;CD_2_saida;7;20
CD_2_entrada;CD_2_saida;8;35
CD_2_entrada;CD_2_saida;9;23.3333
CD_3_entrada;CD_3_saida;0;20
CD_3_entrada;CD_3_saida;1;35
CD_3_entrada;CD_3_saida;2;15
CD_3_entrada;CD_3_saida;3;5
CD_3_entrada;CD_3_saida;4;5
CD_3_entrada;CD_3_saida;5;10
CD_3_entrada;CD_3_saida;6;20
CD_3_entrada;CD_3_saida;7;5
CD_3_entrada;CD_3_saida;8;35
CD_3_entrada;CD_3_saida;9;20
CD_4_entrada;CD_4_saida;0;20
CD_4_entrada;CD_4_saida;1;25
CD_4_entrada;CD_4_saida;2;10
CD_4_entrada;CD_4_saida;3;24.1951
CD_4_entrada;CD_4_saida;4;20
CD_4_entrada;CD_4_saida;5;5
CD_4_entrada;CD_4_saida;6;15
CD_4_entrada;CD_4_saida;7;35
CD_4_entrada;CD_4_saida;8;5
CD_4_entrada;CD_4_saida;9;23.5737
C_0_entrada;C_0_saida;0;5
C_0_entrada;C_0_saida;1;5
C_0_entrada;C_0_saida;2;5
C_0_entrada;C_0_saida;3;5
C_0_entrada;C_0_saida;4;5
C_0_entrada;C_0_saida;5;5
C_0_entrada;C_0_saida;6;5
C_0_entrada;C_0_saida;7;5
C_0_entrada;C_0_saida;8;5
C_0_entrada;C_0_saida;9;5
C_1_entrada;C_1_saida;0;5
C_1_entrada;C_1_saida;1;5
C_1_entrada;C_1_saida;2;5
C_1_entrada;C_1_saida;3;5
C_1_entrada;C_1_saida;4;5
C_1_entrada;C_1_saida;5;5
C_1_entrada;C_1_saida;6;5
C_1_entrada;C_1_saida;7;5
C_1_entrada;C_1_saida;8;5
C_1_entrada;C_1_saida;9;5
C_2_entrada;C_2_saida;0;5
C_2_entrada;C_2_saida;1;5
C_2_entrada;C_2_saida;2;5
C_2_entrada;C_2_saida;3;5
C_2_entrada;C_2_saida;4;5
C_2_entrada;C_2_saida;5;5
C_2_entrada;C_2_saida;6;5
C_2_entrada;C_2_saida;7;5
C_2_entrada;C_2_saida;8;5
C_2_entrada;C_2_saida;9;5
C_3_entrada;C_3_saida;0;5
C_3_entrada;C_3_saida;1;5
C_3_entrada;C_3_saida;2;5
C_3_entrada;C_3_saida;3;5
C_3_entrada;C_3_saida;4;5
C_3_entrada;C_3_saida;5;5
C_3_entrada;C_3_saida;6;5
C_3_entrada;C_3_saida;7;5
C_3_entrada;C_3_saida;8;5
C_3_entrada;C_3_saida;9;5
C_4_entrada;C_4_saida;0;5
C_4_entrada;C_4_saida;1;5
C_4_entrada;C_4_saida;2;5
C_4_entrada;C_4_saida;3;5
C_4_entrada;C_4_saida;4;5
C_4_entrada;C_4_saida;5;5
C_4_entrada;C_4_saida;6;5
C_4_entrada;C_4_saida;7;5
C_4_entrada;C_4_saida;8;5
C_4_entrada;C_4_saida;9;5
C_5_entrada;C_5_saida;0;5
C_5_entrada;C_5_saida;1;5
C_5_entrada;C_5_saida;2;5
C_5_entrada;C_5_saida;3;5
C_5_entrada;C_5_saida;4;5
C_5_entrada;C_5_saida;5;5
C_5_entrada;C_5_saida;6;5
C_5_entrada;C_5_saida;7;5
C_5_entrada;C_5_saida;8;5
C_5_entrada;C_5_saida;9;5
C_6_entrada;C_6_saida;0;5
C_6_entrada;C_6_saida;1;5
C_6_entrada;C_6_saida;2;5
C_6_entrada;C_6_saida;3;5
C_6_entrada;C_6_saida;4;5
C_6_entrada;C_6_saida;5;5
C_6_entrada;C_6_saida;6;5
C_6_entrada;C_6_saida;7;5
C_6_entrada;C_6_saida;8;5
C_6_entrada;C_6_saida;9;5
C_7_entrada;C_7_saida;0;5
C_7_entrada;C_7_saida;1;5
C_7_entrada;C_7_saida;2;5
C_7_entrada;C_7_saida;3;5
C_7_entrada;C_7_saida;4;5
C_7_entrada;C_7_saida;5;5
C_7_entrada;C_7_saida;6;5
C_7_entrada;C_7_saida;7;5
C_7_entrada;C_7_saida;8;5
C_7_entrada;C_7_saida;9;5
C_8_entrada;C_8_saida;0;5
C_8_entrada;C_8_saida;1;5
C_8_entrada;C_8_saida;2;5
C_8_entrada;C_8_saida;3;5
C_8_entrada;C_8_saida;4;5
C_8_entrada;C_8_saida;5;5
C_8_entrada;C_8_saida;6;5
C_8_entrada;C_8_saida;7;5
C_8_entrada;C_8_saida;8;5
C_8_entrada;C_8_saida;9;5
C_9_entrada;C_9_saida;0;5
C_9_entrada;C_9_saida;1;5
C_9_entrada;C_9_saida;2;5
C_9_entrada;C_9_saida;3;5
C_9_entrada;C_9_saida;4;5
C_9_entrada;C_9_saida;5;5
C_9_entrada;C_9_saida;6;5
C_9_entrada;C_9_saida;7;5
C_9_entrada;C_9_saida;8;5
C_9_entrada;C_9_saida;9;5
C_10_entrada;C_10_saida;0;5
C_10_entrada;C_10_saida;1;5
C_10_entrada;C_10_saida;2;5
C_10_entrada;C_10_saida;3;5
C_10_entrada;C_10_saida;4;5
C_10_entrada;C_10_saida;5;5
C_10_entrada;C_10_saida;6;5
C_10_entrada;C_10_saida;7;5
C_10_entrada;C_10_saida;8;5
C_10_entrada;C_10_saida;9;5
C_11_entrada;C_11_saida;0;5
C_11_entrada;C_11_saida;1;5
C_11_entrada;C_11_saida;2;5
C_11_entrada;C_11_saida;3;5
C_11_entrada;C_11_saida;4;5
C_11_entrada;C_11_saida;5;5
C_11_entrada;C_11_saida;6;5
C_11_entrada;C_11_saida;7;5
C_11_entrada;C_11_saida;8;5
C_11_entrada;C_11_saida;9;5
